order_date,revenue,orders,customers
2016-09,143.46,1,1
2016-10,46490.66,265,262
2016-12,19.62,1,1
2017-01,127482.37,750,718
2017-02,271239.32,1653,1630
2017-03,414330.95,2546,2508
2017-04,390812.4,2303,2274
2017-05,566657.4,3545,3478
2017-06,490050.37,3135,3076
2017-07,566299.08,3872,3802
2017-08,645832.36,4193,4114
2017-09,701077.49,4150,4083
2017-10,751117.01,4478,4417
2017-11,1153229.37,7288,7182
2017-12,843078.29,5513,5450
2018-01,1077887.46,7069,6974
2018-02,966168.41,6555,6400
2018-03,1120598.24,7003,6914
2018-04,1132878.93,6798,6744
2018-05,1128774.52,6749,6693
2018-06,1011448.96,6096,6058
2018-07,1027286.52,6156,6097
2018-08,985491.64,6351,6310
