order_date,revenue,orders,lag_1,lag_2,lag_4,lag_8,roll_mean_4,roll_std_4,roll_mean_8,roll_std_8,week_of_year,month,quarter
2017-02-06,87090.67,511,78370.52,60947.590000000004,12582.3,42593.93,44776.5475,30195.24822715144,28658.482500000002,29343.549615761873,6,2,1
2017-02-13,59815.39,379,87090.67,78370.52,27205.78,3896.73,63403.64000000001,26466.331677166756,34220.575000000004,35856.731154395544,7,2,1
2017-02-20,50343.78,349,59815.39,87090.67,60947.590000000004,19.62,71556.04250000001,13393.33093660518,41210.4075,34526.662773295226,8,2,1
2017-02-27,77516.96,461,50343.78,59815.39,78370.52,3651.3900000000003,68905.09,16807.28572204528,47500.9275,30272.112294076756,9,2,1
2017-03-06,85379.03,548,77516.96,50343.78,87090.67,12582.3,68691.70000000001,16651.75024505434,56734.123750000006,25942.162161693985,10,3,1
2017-03-13,106515.38,591,85379.03,77516.96,59815.39,27205.78,68263.79000000001,16031.789422546293,65833.71500000001,20423.015971653866,11,3,1
2017-03-20,97043.44,624,106515.38,85379.03,50343.78,60947.590000000004,79938.7875,23220.97632698129,75747.41500000001,18112.055941266633,12,3,1
2017-03-27,95902.18000000001,546,97043.44,106515.38,77516.96,78370.52,91613.7025,12768.859671436025,80259.39625,18392.343342132473,13,3,1
2017-04-03,98871.26,563,95902.18000000001,97043.44,85379.03,87090.67,96210.0075,8646.774802801245,82450.85375000001,19163.421247899765,14,4,2
2017-04-10,64812.43,421,98871.26,95902.18000000001,106515.38,59815.39,99583.065,4780.595051563502,83923.4275,20005.038852602524,15,4,2
2017-04-17,96342.99,545,64812.43,98871.26,97043.44,50343.78,89157.3275,16275.93647597044,84548.0575,19206.853347949065,16,4,2
2017-04-24,101473.95,644,96342.99,64812.43,95902.18000000001,77516.96,88982.215,16166.205926356586,90297.95874999999,13559.495497420114,17,4,2
2017-05-01,112881.48,750,101473.95,96342.99,98871.26,85379.03,90375.1575,17170.08070875882,93292.5825,12966.033136909007,18,5,2
2017-05-08,126078.16,753,112881.48,101473.95,64812.43,106515.38,93877.7125,20572.7509366741,96730.38875,14159.189871634077,19,5,2
2017-05-15,139951.45,916,126078.16,112881.48,96342.99,97043.44,109194.145,13208.835396487475,99175.73624999999,17407.249857297127,20,5,2
2017-05-22,129451.39,759,139951.45,126078.16,101473.95,95902.18000000001,120096.26000000001,16621.824786813708,104539.2375,22516.855313344902,21,5,2
2017-05-29,128973.7,800,129451.39,139951.45,112881.48,98871.26,127090.62000000001,11163.913860783838,108732.88875,23767.878401281418,22,5,2
2017-06-05,123407.36,814,128973.7,129451.39,126078.16,64812.43,131113.67500000002,6077.4271608882045,112495.69374999999,24359.07989289121,23,6,2
2017-06-12,114904.29,726,123407.36,128973.7,139951.45,96342.99,130445.975,6905.383143888663,119820.06,14974.995842517967,24,6,2
2017-06-19,101015.84,635,114904.29,123407.36,129451.39,101473.95,124184.18500000001,6767.638946705726,122140.2225,11950.37506931276,25,6,2
2017-06-26,106731.37,706,101015.84,114904.29,128973.7,112881.48,117075.29750000002,12169.448718207954,122082.95874999999,12064.106940757903,26,6,2
2017-07-03,120804.35,794,106731.37,101015.84,123407.36,126078.16,111514.715,9764.407977126326,121314.19499999999,12901.134049168,27,7,3
2017-07-10,132253.89,926,120804.35,106731.37,114904.29,139951.45,110863.96250000001,8740.697674356052,120654.96875,12756.862375630844,28,7,3
2017-07-17,139191.64,937,132253.89,120804.35,101015.84,129451.39,115201.36250000002,14084.885333949067,119692.77375,11300.676310250516,29,7,3
2017-07-24,127284.2,893,139191.64,132253.89,106731.37,128973.7,124745.31250000001,14202.211378637252,120910.305,12912.082551107003,30,7,3
2017-07-31,137517.99,954,127284.2,139191.64,120804.35,123407.36,129883.52000000002,7777.05051680058,120699.11750000001,12774.441715002453,31,7,3
2017-08-07,145517.28,911,137517.99,127284.2,132253.89,114904.29,134061.93000000002,5399.534177507162,122462.94625000001,14106.511605677515,32,8,3
2017-08-14,143084.39,1008,145517.28,137517.99,139191.64,101015.84,137377.77750000003,7559.575923072192,126289.57,15812.202853339088,33,8,3
2017-08-21,122806.83,862,143084.39,145517.28,127284.2,106731.37,138350.96500000003,8102.026862164456,131548.13875,12940.87931356456,34,8,3
2017-08-28,199711.38,979,122806.83,143084.39,137517.99,120804.35,137231.62250000003,10182.724792992598,133557.57125,9262.060998296083,35,8,3
2017-09-04,150770.1,879,199711.38,122806.83,145517.28,132253.89,152779.97000000003,32902.36720774662,143420.95,24011.58129648995,36,9,3
2017-09-11,181510.05,1136,150770.1,199711.38,143084.39,139191.64,154093.17500000002,32619.48387857018,145735.47625,23671.38953338581,37,9,3
2017-09-18,146228.62,956,181510.05,150770.1,122806.83,127284.2,163699.59,33928.60659528769,151025.2775,26553.14114617375,38,9,3
2017-09-25,160889.61,925,146228.62,181510.05,199711.38,137517.99,169555.0375,25490.67115054494,153393.33,24928.448792120536,39,9,3
2017-10-02,164000.12,975,160889.61,146228.62,150770.1,145517.28,159849.595,15686.779268042874,156314.7825,24159.829795741476,40,10,4
2017-10-09,170924.83,1030,164000.12,160889.61,181510.05,143084.39,163157.1,14482.82203662208,158625.13749999998,23861.678963672475,41,10,4
2017-10-16,187811.36000000002,1105,170924.83,164000.12,146228.62,122806.83,160510.79499999998,10404.350652038136,162105.1925,23294.816716751116,42,10,4
2017-10-23,158203.13,950,187811.36000000002,170924.83,160889.61,199711.38,170906.48,12025.12366649364,170230.75875,18465.359608740513,43,10,4
2017-10-30,162909.79,900,158203.13,187811.36000000002,164000.12,150770.1,170234.86000000002,12819.827358580098,165042.22749999998,14377.445184160577,44,10,4
2017-11-06,180022.1,1168,162909.79,158203.13,170924.83,181510.05,169962.27750000003,13006.810821917761,166559.68875,13252.539742134253,45,11,4
2017-11-13,201306.74,1259,180022.1,162909.79,187811.36000000002,146228.62,172236.59500000003,13989.458225445993,166373.695,13021.164821036818,46,11,4
2017-11-20,464132.65,2915,201306.74,180022.1,158203.13,160889.61,175610.44000000003,19528.470920719777,173258.46000000002,15222.862535630205,47,11,4
2017-11-27,307782.86,2046,464132.65,201306.74,162909.79,164000.12,252092.82000000004,142229.76358635884,211163.84,103221.268642195,48,11,4
2017-12-04,252279.28,1631,307782.86,464132.65,180022.1,170924.83,288311.0875,129857.14338188338,229136.6825,106307.53642281226,49,12,4
2017-12-11,214100.43,1367,252279.28,307782.86,201306.74,187811.36000000002,306375.3825,113805.60089389692,239305.98875,103805.23509557133,50,12,4
2017-12-18,145865.59,952,214100.43,252279.28,464132.65,158203.13,309573.80500000005,109984.04729867764,242592.1225,102348.090801053,51,12,4
2017-12-25,117037.12,857,145865.59,214100.43,307782.86,162909.79,230007.04000000004,68014.54428057918,241049.93,103882.7739102358,52,12,4
2018-01-01,207573.79,1341,117037.12,145865.59,252279.28,180022.1,182320.60500000004,61900.65970887472,235315.84625,109903.64145810154,1,1,1
2018-01-08,271037.25,1738,207573.79,117037.12,214100.43,201306.74,171144.2325,47395.277377376246,238759.8075,108344.03484017497,2,1,1
2018-01-15,251462.68,1704,271037.25,207573.79,145865.59,464132.65,185378.43750000003,68463.77783593183,247476.12124999997,107703.50652483557,3,1,1
2018-01-22,241040.44,1545,251462.68,271037.25,117037.12,307782.86,211777.71000000002,68508.00990109844,220892.375,63944.83549726897,4,1,1
2018-01-29,227884.27,1561,241040.44,251462.68,207573.79,252279.28,242778.54,26560.39904680267,212549.5725,54670.131854196305,5,1,1
2018-02-05,232024.37,1541,227884.27,241040.44,271037.25,214100.43,247856.16000000003,18218.126041472988,209500.19625,52785.38345299076,6,2,1
2018-02-12,223393.24,1595,232024.37,227884.27,251462.68,145865.59,238102.94000000003,10463.934711369187,211740.68874999997,53385.518024728124,7,2,1
2018-02-19,242360.95,1713,223393.24,232024.37,241040.44,117037.12,231085.58000000002,7514.4537320950885,221431.645,46283.337011400814,8,2,1
2018-02-26,295734.2,1849,242360.95,223393.24,227884.27,207573.79,231415.70750000002,8103.4938766696705,237097.12375,19166.906585683224,9,2,1
2018-03-05,261457.2,1598,295734.2,242360.95,232024.37,271037.25,248378.19000000003,32508.942438620317,248117.175,24397.714750898824,10,3,1
2018-03-12,247879.21,1541,261457.2,295734.2,223393.24,251462.68,255736.39750000002,30862.7835154687,246919.66874999998,23323.48189733829,11,3,1
2018-03-19,263989.13,1671,247879.21,261457.2,242360.95,241040.44,261857.89000000004,23967.332598060646,246471.735,23258.086967596515,12,3,1
2018-03-26,232025.97,1431,263989.13,247879.21,295734.2,227884.27,267264.93500000006,20254.761313858035,249340.32125,23898.89456907242,13,3,1
2018-04-02,258878.99,1555,232025.97,263989.13,261457.2,232024.37,251337.87750000003,14689.758675597343,249858.03375,23407.509617550317,14,4,2
2018-04-09,264631.79,1522,258878.99,232025.97,247879.21,223393.24,250693.325,14144.173453163048,253214.86125000002,22388.046260283896,15,4,2
2018-04-16,265813.59,1637,264631.79,258878.99,263989.13,242360.95,254881.47000000003,15452.855800556566,258369.68000000002,19037.602733273532,16,4,2
2018-04-23,269878.49,1648,265813.59,264631.79,232025.97,295734.2,255337.58500000002,15833.528461509399,261301.26,17997.584339149576,17,4,2
2018-04-30,277698.99,1734,269878.49,265813.59,258878.99,261457.2,264800.715,4542.579199363882,258069.29625,12373.751563533837,18,4,2
2018-05-07,334320.97,1943,277698.99,269878.49,264631.79,247879.21,269505.715,5906.370807511621,260099.52000000002,14205.836885848867,19,5,2
2018-05-14,295684.01,1805,334320.97,277698.99,265813.59,263989.13,286928.01,31977.973314396462,270904.74,28879.3204337603,20,5,2
2018-05-21,152339.97,941,295684.01,334320.97,269878.49,232025.97,294395.615,28726.066201322283,274866.6,29949.295063954458,21,5,2
2018-05-28,207727.2,1075,152339.97,295684.01,277698.99,258878.99,265010.985,78741.03456978679,264905.85,51633.938284889744,22,5,2
2018-06-04,239445.36,1421,207727.2,152339.97,334320.97,264631.79,247518.0375,82657.69832962981,258511.87625,55508.63105537473,23,6,2
2018-06-11,257453.53,1497,239445.36,207727.2,295684.01,265813.59,223799.13500000004,59935.962959527926,255363.5725,55825.289989750214,24,6,2
2018-06-18,225067.05,1442,257453.53,239445.36,152339.97,269878.49,214241.515,46104.04760412588,254318.565,55679.78569883711,25,6,2
2018-06-25,218945.51,1378,225067.05,257453.53,207727.2,277698.99,232423.28500000003,21133.176995489837,248717.13499999998,56142.93171095841,26,6,2
2018-07-02,184784.27,1178,218945.51,225067.05,239445.36,334320.97,235227.86250000005,17128.19016103254,241372.94999999998,55650.83336187102,27,7,3
2018-07-09,180512.24,972,184784.27,218945.51,257453.53,295684.01,221562.59000000003,29776.58332607471,222680.8625,43829.047736560446,28,7,3
2018-07-16,258143.04,1649,180512.24,184784.27,225067.05,152339.97,202327.26750000002,22926.810201500622,208284.39125,34304.44386348293,29,7,3
2018-07-23,278921.17,1610,258143.04,180512.24,218945.51,207727.2,210596.265,36063.43185301569,221509.775,29747.471597192223,30,7,3
2018-07-30,320188.7,2002,278921.17,258143.04,184784.27,239445.36,225590.18,50335.62738965781,230409.02125,35187.09320323213,31,7,3
2018-08-06,318750.58,1931,320188.7,278921.17,180512.24,257453.53,259441.28750000003,58598.04869756746,240501.93874999997,47555.56167835177,32,8,3
2018-08-13,285736.29,1839,318750.58,320188.7,258143.04,225067.05,294000.87250000006,30613.351714526085,248164.07,55027.97664439293,33,8,3
2018-08-20,145754.71,1054,285736.29,318750.58,278921.17,218945.51,300899.18500000006,21631.028797404677,255747.725,55568.04360756638,34,8,3
